Feature,Importance
"fBodyAccJerk-bandsEnergy()-25,48",0.0005039806436550004
tBodyGyroJerk-std()-Y,0.0005034732299016148
tBodyAcc-entropy()-Z,0.0004891233381702772
fBodyGyro-iqr()-Z,0.00048555857649406085
fBodyAccJerk-max()-Z,0.0004808458515889039
fBodyAcc-skewness()-Z,0.00047781122483832794
fBodyAcc-iqr()-Z,0.00047756583663497354
"fBodyAccJerk-bandsEnergy()-17,24",0.0004768642435453468
tBodyGyroJerk-max()-Z,0.0004765926238786212
"tBodyGyroJerk-correlation()-Y,Z",0.0004735117180114355
"tBodyGyroJerk-arCoeff()-Z,4",0.0004714776261240852
fBodyAcc-max()-Z,0.00047136997035336533
tBodyGyroMag-mad(),0.0004693097858059634
tBodyGyroMag-energy(),0.00046910203736723663
"fBodyGyro-bandsEnergy()-33,40",0.00046734037596245004
"tBodyGyro-arCoeff()-Y,1",0.00046589647962890174
tBodyAcc-iqr()-Y,0.00046237175512268497
fBodyBodyGyroJerkMag-max(),0.0004588253302240116
"tBodyGyroJerk-correlation()-X,Z",0.00045831670524349415
tBodyGyroJerk-energy()-Y,0.0004525831891891884
fBodyGyro-kurtosis()-X,0.00045251315624671813
fBodyBodyAccJerkMag-skewness(),0.00045210253583766256
"fBodyGyro-bandsEnergy()-25,32",0.0004514217179062161
tBodyGyroMag-min(),0.00044996580421338255
"fBodyAccJerk-bandsEnergy()-9,16",0.00044878507222936425
fBodyAccJerk-meanFreq()-Z,0.0004466978135492524
"fBodyGyro-bandsEnergy()-49,64",0.0004391491176183842
"fBodyGyro-bandsEnergy()-17,32",0.0004390507710471167
"tBodyAccJerk-correlation()-Y,Z",0.00043809792801228245
"fBodyGyro-bandsEnergy()-17,24",0.0004368114605588042
"tBodyAccJerk-arCoeff()-Z,1",0.00043477552307174
fBodyAccJerk-std()-Y,0.000431434502043899
tBodyAccJerk-energy()-Z,0.0004232781491749917
tBodyAccJerk-entropy()-Z,0.00042113813230730307
"fBodyGyro-bandsEnergy()-9,16",0.00041816490491522853
tBodyAccJerk-energy()-Y,0.0004125528292056026
"fBodyGyro-bandsEnergy()-17,24",0.00041194450486905463
"tBodyAcc-arCoeff()-Z,4",0.00041049469686024536
tBodyGyro-mean()-Y,0.00040888925518660905
tBodyGyroJerkMag-iqr(),0.00040707152111452274
"fBodyAccJerk-bandsEnergy()-1,16",0.0004063576002099393
fBodyAcc-sma(),0.0004062970777257134
fBodyGyro-mad()-Z,0.0004040583620793011
tBodyGyroMag-mean(),0.00040319696866634926
fBodyAccJerk-iqr()-Z,0.0003992641946196838
tBodyGyroJerkMag-std(),0.00039919499454498685
"fBodyGyro-bandsEnergy()-57,64",0.00039494143121196544
tBodyAcc-std()-Y,0.00039281135707233304
tBodyGyroJerk-mean()-X,0.0003878925891818288
"fBodyGyro-bandsEnergy()-25,32",0.0003873043181716406
"fBodyAccJerk-bandsEnergy()-9,16",0.0003871526287234565
fBodyAcc-mad()-Z,0.0003869460836426406
"fBodyAcc-bandsEnergy()-25,48",0.0003855126106615511
fBodyBodyGyroMag-energy(),0.0003838061320991102
fBodyGyro-iqr()-Y,0.000382774825561079
tGravityAccMag-arCoeff()2,0.00038235428892920907
tBodyGyroMag-entropy(),0.00038145612026556537
tBodyGyroJerkMag-mean(),0.00038133863482240244
"tBodyGyro-arCoeff()-Y,4",0.0003753141997260498
"fBodyAccJerk-bandsEnergy()-1,8",0.00037520449088206863
tBodyAcc-iqr()-Z,0.0003729973687087219
tBodyGyroJerkMag-energy(),0.0003722496183696789
tBodyGyroJerk-std()-Z,0.0003692327438136281
tBodyGyro-max()-Z,0.00036785475933598805
tBodyAccJerk-std()-Z,0.000367621324624209
fBodyAcc-meanFreq()-Y,0.000367618677889882
